id,state
state1,Alaska
state2,Alabama
state3,Arizona
state4,California
state5,Colorado
state6,Connecticut
state7,Delaware
state8,Florida
state9,Georgia
state10,Hawaii
state11,Iowa
state12,Idaho
state13,Illinois
state14,Indiana
state15,Kansas
state16,Kentucky
state17,Louisiana
state18,Massachusetts
state19,Maryland
state20,Maine
state21,Michigan
state22,Minnesota
state23,Missouri
state24,Mississippi
state25,Montana
state26,North Carolina
state27,North Dakota
state28,Nebraska
state29,Texas
state30,New Hampshire
state31,New Jersey
state32,New York
state33,New Mexico
state34,Nevada
state35,Ohio
state36,Oklahoma
state37,Oregon
state38,Pennsylvania
state39,Rhode Island
state40,South Carolina
state41,South Dakota
state42,Tennessee
state43,Utah
state44,Virginia
state45,Vermont
state46,Washington
state47,Wisconsin
state48,West Virginia
state49,Wyoming
state50,Somerset
state51,West Sussex
state52,South West London
state53,East London
state54,Berkshire
state55,Surrey
state56,Greater London
state57,West London
state58,Essex
state59,Hertfordshire
state60,Hampshire
state61,Cheshire
state62,Wiltshire
state63,Cornwall
state64,North West London
state65,Gloucestershire
state66,Kent
state67,Warwickshire
state68,South East London
state69,West Midlands
state70,Greater Manchester
state71,Oxfordshire
state72,South Yorkshire
state73,West Yorkshire
state74,Nottinghamshire
state75,Cumbria
state76,North London
state77,Devon
state78,North Lanarkshire
state79,Cambridgeshire
state80,Tyne and Wear
state81,Dorset
state82,London
state83,Northamptonshire
state84,Merseyside
state85,East Sussex
state86,County Durham
state87,North Yorkshire
state88,Norfolk
state89,Staffordshire
state90,Derbyshire
state91,Suffolk
state92,Worcestershire
state93,Rutland
state94,Lincolnshire
state95,Shropshire
state96,Lancashire
state97,East Riding of Yorkshire
state98,Isle of Wight
state99,NB
state100,South Lanarkshire
state101,Newport
state102,Caerphilly
state103,Denbighshire
state104,Rhondda Cynon Taf
state105,City of London
state106,Arkansas
state107,Herefordshire
state108,Buckinghamshire
state109,Central London
state110,Leicestershire
state111,Dumfries and Galloway
